thread_id,root_time,thread_len,matched_post_count,join_coverage,matched_post_ids,matched_user_ids,matched_post_positions
10126873,202307121650,36,2,0.055556,"131409,131175","32905,45676","21,27"
2744,202307130637,642,2,0.003115,"131175,381382","45676,226062","37,127"
1717719,202307131426,90,2,0.022222,"131175,131409","45676,32905","17,59"
164964,202307150438,632,2,0.003165,"131175,381382","45676,226062","51,149"
21152,202307160101,186,2,0.010753,"851741,179028","31395,3060","94,118"
1360120,202307172100,189,2,0.010582,"399109,132366","6826,6567","93,96"
1252262,202307182333,127,2,0.015748,"131175,395646","45676,34218","32,99"
153171,202307191220,150,2,0.013333,"384030,131175","33695,45676","13,28"
5237831,202307201922,136,2,0.014706,"384732,136110","34218,46756","57,116"
736388,202307202008,220,2,0.009091,"131175,131409","45676,32905","53,158"
4164536,202307210108,33,2,0.060606,"131409,131175","32905,45676","17,23"
4164440,202307210346,12,2,0.166667,"131175,131409","45676,32905","3,6"
202750,202307211519,568,2,0.003521,"131175,497419","45676,509872","32,513"
255282,202307220408,2037,4,0.001964,"213093,725404,382694,188393","172477,2483,34218,64830","35,1105,1452,2032"
204617,202307230029,218,2,0.009174,"331520,379141","195713,33695","108,111"
12440854,202307232017,26,2,0.076923,"131409,131175","32905,45676","16,22"
366109,202307241727,118,2,0.016949,"127158,384737","64509,195198","35,49"
10931203,202307242038,5,2,0.4,"20180,826613","2493,4293","2,3"
2077784,202307250015,46,2,0.043478,"65451,127158","88616,64509","11,17"
186666,202307250038,773,3,0.003881,"383454,133649,122402","226029,3060,34218","161,174,570"
20029540,202307251540,6,2,0.333333,"135502,1502326","24957,30524","1,4"
15419146,202307252047,13,2,0.153846,"376921,376956","122809,34671","10,12"
60539512,202307252149,12,2,0.166667,"131175,131409","45676,32905","0,6"
255272,202307261136,29,2,0.068966,"132760,196388","2481,34218","2,6"
396070,202307261320,279,2,0.007168,"1536286,109891","2246008,130","158,180"
1685845,202307261411,6,2,0.333333,"20180,826613","2493,4293","2,3"
2456465,202307261456,21,2,0.095238,"395584,65614","24887,683","13,14"
17244155,202307261517,14,2,0.142857,"131175,131409","45676,32905","4,8"
19796092,202307261553,7,2,0.285714,"129858,131175","27967,45676","0,1"
2859804,202307261733,170,2,0.011765,"132760,196388","2481,34218","58,99"
37304401,202307262103,32,2,0.0625,"65451,558047","88616,3060","14,23"
20712322,202307262323,7,2,0.285714,"129221,128340","2481,66009","1,5"
39018265,202307271236,3,2,0.666667,"20180,826613","2493,4293","1,2"
255087,202307271413,106,2,0.018868,"526005,196388","2481,34218","40,61"
46435,202307271520,1549,2,0.001291,"134874,127158","61595,64509","723,820"
242491,202307271604,36,2,0.055556,"65614,131175","683,45676","20,26"
504163,202307271848,668,2,0.002994,"131104,377828","184303,37717","11,323"
78471027,202307271904,3,2,0.666667,"1502326,135502","30524,24957","1,2"
119678,202307281624,566,2,0.003534,"375630,375644","361062,507093","191,201"
1102670,202307281946,357,2,0.005602,"129581,554690","46455,30506","81,300"
308610,202307291652,402,2,0.004975,"375644,196388","507093,34218","149,343"
454337,202307292324,348,2,0.005747,"65614,122319","683,2481","18,239"
735441,202307300010,280,2,0.007143,"109891,579502","130,36146","171,237"
2859686,202307301449,75,2,0.026667,"196388,375644","34218,507093","20,60"
1669247,202307301655,261,2,0.007663,"131175,109891","45676,130","48,163"
735979,202307311643,115,2,0.017391,"131175,131409","45676,32905","35,78"
