user_id,post_count,like_count_sum,reply_count_sum,repost_count_sum,quote_count
100982,75,442,35,43,29
101050,10,59,7,11,1
101134,81,365,26,109,0
101298,48,1809,37,378,5
102169,55,163,21,19,5
102265,2,1,2,1,0
103036,41,247,22,37,4
104052,10,168,11,11,1
104260,63,64,14,8,12
107301,23,49,10,5,0
107445,3,4,1,0,1
107487,3,9,0,0,1
107567,8,35,2,2,1
107986,5,38,0,0,0
108012,2,34,6,3,0
108035,31,58,12,5,1
110046,3,14,0,1,0
117794,148,4406,330,639,42
117824,1,32,2,14,0
117830,1,1,1,0,0
117866,59,878,49,112,12
117910,10,98,12,14,6
118286,5,8,1,1,5
119036,20,78,2,27,3
120061,80,4377,187,662,7
120188,36,111,15,15,3
120198,8,1662,24,326,0
120213,92,729,22,163,2
121177,7,19,1,2,1
121736,227,3075,224,1352,66
122758,42,408,19,63,1
122797,3,20,0,11,0
122809,477,3638,332,628,296
122811,35,1355,94,295,3
122834,49,371,10,247,1
122929,6,43,11,1,0
123866,32,397,16,177,0
124344,14,86,1,32,0
124509,1,238,4,53,0
125460,172,828,195,48,19
126331,18,83,9,40,6
127146,1,0,0,0,0
129005,126,269,54,38,31
129024,5,35,6,5,1
129340,1,4,1,2,0
129348,6,74,1,25,0
129505,2,1,0,0,1
130873,10,150,1,28,0
130890,5,158,12,45,0
131149,2,2,0,0,0
131651,1,1,0,0,0
131799,29,43,4,0,3
132004,1,1,0,0,0
132054,2,5,1,1,1
134211,14,18,5,4,0
134220,140,6657,338,1218,38
134379,7,133,8,77,0
134703,12,56,5,17,7
134755,101,207,38,33,49
135870,1,0,0,0,0
135995,13,217,34,8,2
136912,93,1132,154,39,8
137453,24,34,2,5,1
137870,11,114,8,42,0
138266,1,5,1,0,0
138315,6,90,2,32,0
138579,252,586,109,47,68
139703,9,167,9,28,4
140337,31,734,65,82,1
140831,2,23,2,0,0
141898,33,1070,75,272,1
143701,3,20,2,0,0
144235,134,969,104,120,35
144306,13,3,0,0,0
144491,47,456,50,83,2
144720,26,673,34,198,1
144733,5,12,1,2,2
144907,16,13,5,1,3
144933,73,1056,70,176,18
145145,4,62,3,20,0
145167,3,266,5,107,1
145227,2,8,1,4,1
145288,7,30,4,6,3
146440,2,2,1,0,1
147252,60,206,24,16,7
148015,8,38,4,5,1
148925,16,384,16,117,3
149603,9,252,5,82,0
150783,4,33,0,6,0
150817,1,2,0,0,1
151364,4,134,6,27,0
151367,14,63,8,6,1
151379,97,235,55,37,18
151380,43,467,50,57,13
151389,2,4,2,0,1
151407,28,288,18,140,2
151413,70,615,42,224,7
151437,8,42,7,6,0
151460,5,13,2,0,0
151472,1,7,5,0,0
151473,18,49,4,2,1
153118,28,12,3,0,17
153302,1,0,0,0,0
153352,2,0,0,0,0
153353,26,178,34,26,4
153418,1,1,1,0,0
154717,12,37,4,2,2
154740,135,874,89,62,34
154804,14,682,34,134,1
154820,46,1666,25,616,6
154854,2,4,0,1,0
155619,8,14,1,1,0
156164,50,3171,103,488,9
156400,11,19,4,3,4
156438,1,2,0,1,0
156575,1,3,0,0,0
156642,2,2,2,0,0
158178,33,553,21,74,2
158293,10,521,12,325,3
158306,1,4,0,1,0
158310,1,6,0,0,0
158361,14,59,6,27,6
158377,2,5,0,3,0
159414,17,120,13,31,3
160170,74,585,47,64,12
161054,136,1970,78,303,34
161109,7,22,2,11,0
161277,136,2588,148,561,30
161564,276,16006,1142,5008,39
162026,4,29,2,12,3
162052,17,210,15,13,1
162119,64,309,39,56,7
162163,40,313,19,213,11
162181,2,25,1,1,0
162664,11,51,4,26,0
163377,87,2596,150,708,31
163813,1,1,0,0,0
164125,103,230,58,18,17
164465,70,1364,68,401,4
164500,3,2,1,1,0
165550,69,227,47,27,12
166111,13,209,11,55,0
166115,10,40,1,2,0
166118,62,246,24,62,8
